commodity_code,commodity_name,category,subcategory,hazmat_required,temp_control_required,temp_range,fragile,stackable,density_class,typical_weight_range_lbs,typical_dimensions,special_handling,nmfc_class,freight_class,value_density,shelf_life_days,compliance_requirements,characteristics_nl
FOOD-005,Snack Foods - Chips & Crackers,Food & Beverage,Packaged Foods,No,No,NA,Yes,Yes,Low,1000-2500,48x40x60,Crush sensitive|Top load limit,65,Class 65,Medium,90,FDA|Nutrition Labeling,"Low-density snack foods prone to crushing, stackability limited by weight, moderate shelf life with date codes"
FOOD-006,Bakery - Fresh Bread,Food & Beverage,Bakery,No,No,NA,Yes,No,Very Low,800-1800,Custom racks,No stacking|Rack delivery,100,Class 85,Low,5,FDA|State Health Dept,"Extremely perishable fresh bread with 5-day shelf life, cannot be stacked, very low density requires rack systems"
FOOD-007,Canned Goods - Vegetables,Food & Beverage,Canned Foods,No,No,NA,No,Yes,High,4000-8000,48x40x36,Heavy|Stackable,70,Class 70,Low,1095,FDA|Nutrition Labeling,"Heavy canned goods with long shelf life, high density due to liquid and metal, easily stackable"
FOOD-008,Coffee - Roasted Beans,Food & Beverage,Specialty Foods,No,No,NA,No,Yes,Medium,1500-3500,48x40x48,Aroma control|Valved bags,85,Class 85,Medium,180,FDA|Organic Certification,"Roasted coffee requiring aroma containment, moderate density, stackable with valve bags, premium product"
FOOD-009,Cooking Oil - Bulk Containers,Food & Beverage,Ingredients,No,No,NA,No,Yes,Medium,3500-6500,48x40x42,Spill protection|Heavy,65,Class 65,Low,365,FDA|Kosher Certification,"Bulk cooking oil in containers, heavy and dense, spill risk requires containment, long shelf life"
FOOD-010,Wine & Spirits,Food & Beverage,Alcoholic Beverages,No,Yes,55-65F,Yes,Yes,Medium,3000-5500,48x40x48,Temperature control|Age verification|Breakage risk,77.5,Class 77.5,High,1825,TTB|State Liquor Laws,"Premium wine and spirits requiring temperature stability, glass breakage risk, age-restricted delivery, high value"
CHEM-001,Industrial Cleaning Chemicals,Chemicals,Cleaning Agents,Yes,No,NA,No,Yes,Medium,2500-5000,48x40x42,Hazmat Class 8|Corrosive,60,Class 60,Low,365,DOT Hazmat|EPA|OSHA,"Corrosive industrial cleaners requiring hazmat placarding, cannot mix with food products, caustic materials"
CHEM-002,Agricultural Pesticides,Chemicals,Agricultural,Yes,No,NA,Yes,Yes,Medium,2000-4500,48x40x40,Hazmat|Poison|EPA restricted,70,Class 70,Medium,730,EPA Pesticide Reg|DOT Hazmat,"Toxic agricultural chemicals requiring EPA registration and hazmat handling, poison placards, restricted use"
CHEM-003,Industrial Solvents,Chemicals,Solvents,Yes,No,NA,No,Yes,Medium,3000-6000,Drums|55-gallon,Hazmat Class 3|Flammable,65,Class 65,Low,365,DOT Hazmat|EPA|Fire Code,"Flammable industrial solvents in drums, Class 3 hazmat, fire risk requires special handling and ventilation"
CHEM-004,Fertilizers - Bulk,Chemicals,Agricultural,Yes,No,NA,No,Yes,High,4000-8000,Bulk bags|Pallets,Hazmat|Oxidizer possible,70,Class 70,Low,NA,DOT|EPA|State Ag Dept,"Bulk agricultural fertilizers, some are oxidizers, heavy and dense, requires agricultural compliance documentation"
CHEM-005,Paints & Coatings,Chemicals,Coatings,Yes,No,NA,No,Yes,Medium,2500-5000,48x40x40,Hazmat|Flammable possible,77.5,Class 77.5,Medium,540,DOT|EPA VOC|Fire Code,"Industrial paints may be flammable, VOC regulations apply, moderate density in drums or pails"
PHAR-001,Prescription Medications,Pharmaceuticals,Drugs,No,Yes,68-77F,Yes,Yes,Low,500-1500,Insulated totes,Controlled temp|Security|DEA tracking,150,Class 150,Very High,730,FDA|DEA|State Pharmacy,"High-value prescription drugs requiring strict temperature monitoring, security, and chain of custody documentation"
PHAR-002,Vaccines & Biologics,Pharmaceuticals,Biologics,No,Yes,2-8F,Yes,Yes,Low,300-1000,Validated shippers,Cold chain|Data loggers|Qualified,200,Class 200,Extremely High,180,FDA Biologics|CDC|Cold Chain,"Ultra-sensitive vaccines requiring validated cold chain with continuous temperature monitoring, extremely high value"
PHAR-003,Medical Devices - Surgical,Pharmaceuticals,Medical Devices,No,No,NA,Yes,Yes,Low,1000-3000,48x40x48,Sterile packaging|Handle with care,100,Class 100,Very High,1095,FDA 510k|ISO 13485|Sterile,"Sterile surgical instruments and devices, fragile precision equipment, high value density, sterility critical"
PHAR-004,Over-The-Counter Medications,Pharmaceuticals,OTC Drugs,No,No,NA,No,Yes,Low,1500-3500,48x40x48,Tamper evident|Date sensitive,92.5,Class 92.5,Medium,730,FDA OTC|Labeling,"Consumer OTC medications with tamper-evident packaging, date-sensitive expiration tracking, moderate value"
PHAR-005,Medical Supplies - PPE,Pharmaceuticals,Medical Supplies,No,No,NA,No,Yes,Very Low,800-2000,48x40x60,Bulk packaging|Low density,100,Class 100,Low,1095,FDA|NIOSH|ISO,"Bulk personal protective equipment like masks and gloves, very low density, high cube, long shelf life"
TEXT-001,Cotton Fabrics - Rolls,Textiles,Fabrics,No,No,NA,No,Yes,Low,1500-3500,Custom rolls,Protect from moisture,85,Class 85,Low,NA,Flammability Standards,"Cotton fabric rolls, low density, stackable, moisture-sensitive, requires protection from water damage"
TEXT-002,Finished Apparel - Hanging,Textiles,Garments,No,No,NA,Yes,No,Very Low,500-1500,GOH racks,Hanging garments|Rack system,125,Class 125,Medium,NA,Labeling|Country of Origin,"Garments on hangers (GOH) requiring special rack trailers, very low density, cannot be stacked, wrinkle-sensitive"
TEXT-003,Denim Jeans - Boxed,Textiles,Apparel,No,No,NA,No,Yes,Low,2000-4000,48x40x48,Stackable|Moisture protection,85,Class 85,Medium,NA,Labeling|Country of Origin,"Boxed denim apparel, low to medium density, easily stackable, requires moisture protection during transit"
TEXT-004,Home Textiles - Bedding,Textiles,Home Goods,No,No,NA,No,Yes,Low,1200-3000,48x40x60,High cube|Compression possible,100,Class 100,Low,NA,Flammability|Labeling,"Bulky bedding and linens, very low density, high cube freight, can be compressed for efficiency"
FURN-001,Assembled Furniture - Wood,Furniture,Case Goods,No,No,NA,Yes,No,Low,2000-5000,Custom crating,No stacking|Pad wrap|Blanket,125,Class 125,Low,NA,CARB Formaldehyde,"Assembled wooden furniture requiring protective padding, non-stackable, scratch and dent sensitive, low density"
FURN-002,Upholstered Furniture,Furniture,Upholstered,No,No,NA,Yes,No,Very Low,1500-4000,Blanket wrap,No stacking|Fabric protection,150,Class 150,Low,NA,Flammability Standards,"Sofas and chairs with fabric, very low density, non-stackable, requires protective covering to prevent soiling"
FURN-003,Furniture - Knock-Down Boxes,Furniture,RTA Furniture,No,No,NA,Yes,Yes,Medium,2500-5000,48x40x48,Stackable|Protect edges,85,Class 85,Low,NA,CARB|Assembly Instructions,"Ready-to-assemble furniture in flat boxes, medium density, stackable but fragile edges, cost-effective shipping"
FURN-004,Office Furniture - Desks,Furniture,Commercial,No,No,NA,Yes,No,Medium,3000-6000,Crated|Custom,Crating required|No stacking,100,Class 100,Low,NA,Greenguard|BIFMA,"Commercial office desks, medium density, requires professional crating, non-stackable, damage-sensitive"
MACH-001,CNC Machine Tools,Machinery,Industrial Equipment,No,No,NA,Yes,No,Very High,8000-20000,Custom crating,Rigging|Precision equipment,400,Class 400,High,NA,Export Control|CE Mark,"Heavy precision machine tools requiring professional rigging, extremely high density, export restrictions may apply"
MACH-002,HVAC Equipment - Commercial,Machinery,HVAC,No,No,NA,Yes,No,High,3000-8000,Crated|Palletized,Refrigerant handling|Upright,85,Class 85,Medium,NA,EPA Section 608|Energy Star,"Commercial HVAC units containing refrigerants, must stay upright, EPA regulations for refrigerant handling"
MACH-003,Industrial Pumps,Machinery,Fluid Handling,No,No,NA,Yes,Yes,Very High,2000-6000,Crated,Precision equipment|Residual fluids,110,Class 110,Medium,NA,API Standards|EPA,"Heavy industrial pumps with precision tolerances, may contain residual fluids, very high density equipment"
MACH-004,Generators - Diesel,Machinery,Power Generation,No,No,NA,No,No,Very High,5000-15000,Crated|Palletized,Fuel residue|Heavy|EPA,85,Class 85,High,NA,EPA Emissions|DOT,"Heavy diesel generators may contain residual fuel, emissions equipment must comply with EPA standards"
MACH-005,Construction Equipment Parts,Machinery,Construction,No,No,NA,No,Yes,High,3000-8000,Crated|Palletized,Heavy|Grease residue,100,Class 100,Medium,NA,None,"Heavy construction equipment components, high density, may have grease or oil residue, durable materials"
BULK-001,Steel Coils,Bulk Materials,Metals,No,No,NA,No,No,Very High,10000-40000,Coil saddles|Eye-to-sky,Specialized equipment|No stacking|Heavy,250,Class 250,Low,NA,Mill Test Certs,"Extremely heavy steel coils requiring specialized coil racks, eye-to-sky orientation critical, very high density"
BULK-002,Lumber - Dimensional,Bulk Materials,Building Materials,No,No,NA,No,Yes,Medium,4000-10000,Banded bundles,Moisture protection|Stackable,70,Class 70,Low,NA,Grade Stamps|Species,"Dimensional lumber in banded bundles, medium density, stackable, requires moisture protection during transit"
BULK-003,Plastic Resin Pellets,Bulk Materials,Plastics,No,No,NA,No,Yes,Medium,2500-5000,Bulk bags|Gaylords,Moisture protection|Bulk,65,Class 65,Low,NA,FDA Food Grade (if applicable),"Bulk plastic pellets in supersacks, medium density, moisture-sensitive, may require food-grade certification"
BULK-004,Cement - Bagged,Bulk Materials,Building Materials,No,No,NA,No,Yes,High,4000-8000,48x40x48,Heavy|Moisture sensitive,70,Class 70,Low,180,ASTM Standards,"Heavy bagged cement, high density, extremely moisture-sensitive, limited shelf life due to hardening"
BULK-005,Paper - Rolls & Sheets,Bulk Materials,Paper Products,No,No,NA,Yes,Yes,Medium,3000-6000,Rolls|Pallets,Moisture protection|Damage sensitive,77.5,Class 77.5,Low,NA,Recycled Content Cert,"Paper rolls and sheets, medium density, moisture damage risk, stacking limits to prevent crushing"
RETAIL-001,General Merchandise - Mixed,Retail,General,No,No,NA,Yes,Yes,Low,2000-4000,48x40x48,Mixed SKUs|Stackable,85,Class 85,Medium,NA,Various,"Mixed retail merchandise pallets, varied density, generally stackable, contains diverse product types"
RETAIL-002,Toys & Games,Retail,Toys,No,No,NA,Yes,Yes,Low,1500-3500,48x40x60,High cube|Seasonal|CPSC,100,Class 100,Medium,NA,CPSC Safety|Lead Testing,"Toys and games, low density, high cube, seasonal demand, requires CPSC safety compliance and lead testing"
RETAIL-003,Sporting Goods,Retail,Sports Equipment,No,No,NA,Yes,Yes,Low,2000-4500,48x40x48,Mixed sizes|Protect from damage,85,Class 85,Medium,NA,Safety Standards,"Sporting goods equipment, varied sizes and densities, some items fragile, stackability varies by product"
RETAIL-004,Books & Media,Retail,Publishing,No,No,NA,No,Yes,High,4000-8000,48x40x36,Heavy|Stackable|Protect edges,77.5,Class 77.5,Low,NA,ISBN|Copyright,"Books are heavy due to paper density, high density pallets, easily stackable, edge protection needed"
RETAIL-005,Pet Supplies - Dry Food,Retail,Pet Products,No,No,NA,No,Yes,Medium,2500-5000,48x40x48,Food grade|Date sensitive,70,Class 70,Low,365,FDA|AAFCO|State Feed,"Pet food requiring food-grade handling, date-sensitive expiration, moderate density, stackable bags"
HTECH-001,Semiconductors - Wafers,High Tech,Components,No,Yes,68-72F,Yes,Yes,Low,300-800,ESD containers,ESD protection|Clean room|Climate,200,Class 200,Extremely High,NA,Export Control|RoHS,"Extremely high-value semiconductor wafers requiring climate control, ESD protection, and clean room handling"
HTECH-002,Telecom Equipment,High Tech,Networking,No,No,NA,Yes,Yes,Medium,2000-5000,48x40x48,Fragile electronics|Theft risk,100,Class 100,High,NA,FCC|Telecom Standards,"Telecom switches and routers, fragile electronics, high value density, theft protection recommended"
HTECH-003,Server Hardware,High Tech,Data Center,No,No,NA,Yes,Yes,Medium,2500-5500,48x40x48,Handle with care|ESD protection,92.5,Class 92.5,Very High,NA,Energy Star|RoHS,"Enterprise server equipment, fragile and high value, ESD precautions, careful handling required"
HTECH-004,Medical Imaging Equipment,High Tech,Medical,No,No,NA,Yes,No,High,4000-10000,Custom crating,Precision|Calibration sensitive|Rigging,150,Class 150,Extremely High,NA,FDA Medical Device|HIPAA,"Precision medical imaging equipment, extremely high value, calibration-sensitive, requires professional rigging"
HTECH-005,Aerospace Components,High Tech,Aerospace,No,Yes,60-75F,Yes,Yes,Medium,1500-4000,Custom|FOD control,Export control|FOD prevention|Precision,125,Class 125,Extremely High,NA,ITAR|AS9100|FAA,"Aerospace components under export control, precision manufacturing, foreign object debris prevention critical"
ENERGY-001,Solar Panels,Energy,Renewable,No,No,NA,Yes,Yes,Medium,2500-5000,48x40x72,Fragile glass|Handle with care|Stackable,85,Class 85,Medium,NA,UL Listing|IEC Standards,"Solar panels with fragile glass surfaces, stackable with care, moderate density, renewable energy equipment"
ENERGY-002,Wind Turbine Blades,Energy,Renewable,No,No,NA,Yes,No,Low,5000-15000,Specialized trailers,Oversized|Escort required|Special permits,400,Class 400,High,NA,Transport Permits|Escort,"Massive oversized wind turbine blades requiring specialized trailers, escort vehicles, and oversize permits"
ENERGY-003,Oil Field Equipment,Energy,Extraction,No,No,NA,No,Yes,Very High,6000-15000,Crated|Flatbed,Heavy|Grease residue|Rigging,110,Class 110,Medium,NA,API Standards|OSHA,"Heavy oil and gas extraction equipment, very high density, may contain grease, requires proper rigging"
ENERGY-004,Batteries - Lithium Ion Large,Energy,Storage,Yes,No,NA,Yes,Yes,High,3000-7000,48x40x48,Hazmat Class 9|Special handling|Fire risk,92.5,Class 92.5,High,NA,DOT Hazmat|UN3480|Fire Safety,"Large lithium-ion battery systems, hazmat Class 9, fire risk requires special packaging and documentation"
PAPER-001,Office Paper - Copy & Print,Paper Products,Office Supplies,No,No,NA,No,Yes,Medium,3000-6000,48x40x48,Moisture protection|Heavy|Stackable,77.5,Class 77.5,Low,NA,Recycled Content|FSC,"Office copy paper, heavy due to density, easily stackable, requires moisture protection, recycled options"
PAPER-002,Cardboard Boxes - Flat,Paper Products,Packaging,No,No,NA,No,Yes,Low,1500-3500,48x40x60,High cube|Banded bundles,85,Class 85,Low,NA,Recycled Content,"Flat corrugated boxes, low density, high cube, banded in bundles, easily stackable, recyclable material"
PAPER-003,Tissue Products - Bulk,Paper Products,Consumer,No,No,NA,Yes,Yes,Very Low,1200-2800,48x40x72,High cube|Crush sensitive|Low density,125,Class 125,Low,NA,FDA (if food contact),"Bulk tissue and paper towels, very low density, high cube, crush-sensitive, limited stacking height"
BEVER-001,Soft Drinks - Canned,Beverages,Carbonated,No,No,NA,No,Yes,High,4000-7000,48x40x48,Heavy|Stackable|Durable,60,Class 60,Low,270,FDA|Nutrition Facts|Deposit Laws (some states),"Canned sodas are heavy and dense due to liquid and aluminum, easily stackable, moderate shelf life"
BEVER-002,Energy Drinks,Beverages,Functional,No,No,NA,No,Yes,Medium,3000-5500,48x40x48,Stackable|Age verification possible,65,Class 65,Medium,365,FDA|Caffeine Labeling,"Energy drinks in cans or bottles, moderate density, some require age verification, date-sensitive"
BEVER-003,Craft Beer - Kegs,Beverages,Alcoholic,No,Yes,34-38F,Yes,Yes,Very High,4000-9000,Keg racks,Refrigeration|Age verification|Breakage,60,Class 60,Medium,90,TTB|State Liquor|Pasteurization,"Heavy beer kegs requiring refrigeration, age-restricted, very high density, pressure vessels need careful handling"
