origin_id,facility_name,street_address,city,state,zip_code,latitude,longitude,facility_type,size_category,primary_industries,operating_hours,dock_doors,temp_controlled,hazmat_certified,rail_access,region,metro_area,characteristics_nl
SEA-03,Spokane Regional Hub,5500 West Geiger Boulevard,Spokane,WA,99224,47.6433,-117.5208,Distribution Center,Medium,General Freight|Food & Beverage,Extended Hours,45,Yes,No,Yes,Pacific Northwest,Spokane,"Regional distribution hub for Eastern Washington, handles general freight and food with rail connections"
SEA-04,Bellevue Tech Warehouse,1200 116th Avenue NE,Bellevue,WA,98004,47.6144,-122.1923,Distribution Center,Small,Electronics|High Tech,Business Hours,18,Yes,No,No,Pacific Northwest,Seattle-Tacoma,"Small specialized technology warehouse on Seattle's Eastside, climate controlled for high-value electronics"
BOS-01,Braintree Logistics Center,250 Granite Street,Braintree,MA,2184,42.2029,-71.027,Distribution Center,Medium,Retail|Consumer Goods,Extended Hours,48,No,No,No,Northeast,Boston Metro,"Mid-sized distribution center south of Boston, serves New England retail market, general consumer goods"
BOS-02,Worcester Manufacturing,500 Southbridge Street,Worcester,MA,1610,42.2373,-71.7745,Manufacturing Plant,Medium,Machinery|Automotive,Business Hours,32,No,Yes,Yes,Northeast,Worcester,"Central Massachusetts manufacturing facility, produces machinery and auto components, rail-served with hazmat"
BOS-03,Portland Maine Port,468 Commercial Street,Portland,ME,4101,43.6591,-70.2568,Port Terminal,Small,Food & Beverage|General Freight,Extended Hours,25,Yes,No,No,Northeast,Portland ME,"Small port facility handling Maine imports, specializes in seafood and food products with refrigeration"
DEN-01,Denver International Logistics,23800 East 75th Avenue,Denver,CO,80249,39.8561,-104.6737,Distribution Center,Large,Retail|Electronics|General Freight,24/7,90,No,No,No,West,Denver Metro,"Large distribution center near Denver airport, serves Rocky Mountain region, multi-industry 24/7 operations"
DEN-02,Colorado Springs Distribution,3900 Janitell Road,Colorado Springs,CO,80906,38.788,-104.7609,Distribution Center,Medium,Military Supply|General Freight,Extended Hours,40,No,Yes,No,West,Colorado Springs,"Distribution center serving military installations and civilian market, hazmat certified for defense logistics"
ATL-04,Savannah Port Terminal,1 Garden City Terminal Road,Savannah,GA,31408,32.1165,-81.1412,Port Terminal,Mega,General Freight|Automotive|Machinery,24/7,140,No,Yes,Yes,Southeast,Savannah,"Major East Coast port handling automotive and containerized freight, extensive rail network and hazmat capabilities"
MIA-01,Miami International Logistics,7200 NW 25th Street,Miami,FL,33122,25.7959,-80.3164,Distribution Center,Large,General Freight|Consumer Goods|Pharmaceuticals,24/7,75,Yes,Yes,No,Southeast,Miami Metro,"Large distribution hub near Miami airport, serves Caribbean and Latin American trade, pharma capabilities"
MIA-02,Fort Lauderdale Distribution,3500 SW 30th Avenue,Fort Lauderdale,FL,33312,26.0783,-80.2003,Distribution Center,Medium,Retail|Consumer Goods,Extended Hours,50,No,No,No,Southeast,Miami Metro,"Mid-sized retail distribution in Broward County, serves South Florida market, general consumer goods"
MIA-03,Port Everglades Terminal,1850 Eller Drive,Fort Lauderdale,FL,33316,26.0892,-80.1189,Port Terminal,Large,General Freight|Cruise Supply,24/7,65,Yes,No,Yes,Southeast,Miami Metro,"Port facility handling containerized freight and cruise provisioning, refrigerated cargo with rail access"
ORL-01,Orlando Central Distribution,8500 Logistics Court,Orlando,FL,32824,28.4486,-81.2981,Distribution Center,Large,Retail|Consumer Goods|Electronics,24/7,82,No,No,No,Southeast,Orlando Metro,"Large retail distribution serving Central Florida tourism and residential market, high-volume consumer goods"
ORL-02,Tampa Port Facility,1101 Channelside Drive,Tampa,FL,33602,27.9434,-82.4474,Port Terminal,Large,General Freight|Phosphate|Bulk,24/7,70,No,Yes,Yes,Southeast,Tampa Bay,"Major Gulf Coast port handling bulk materials and containers, phosphate exports and hazmat certified"
JAX-01,Jacksonville Port Logistics,9810 Heckscher Drive,Jacksonville,FL,32226,30.4089,-81.4615,Port Terminal,Large,Automotive|General Freight,24/7,95,No,Yes,Yes,Southeast,Jacksonville,"Major automotive import port on East Coast, handles containerized freight with extensive rail connections"
MEM-01,Memphis Distribution Hub,3260 Democrat Road,Memphis,TN,38118,35.0398,-89.9745,Distribution Center,Mega,General Freight|E-Commerce|Air Cargo,24/7,145,No,No,Yes,Southeast,Memphis Metro,"Massive air cargo and distribution hub, serves national e-commerce networks, adjacent to Memphis airport with rail"
MEM-02,Nashville Regional Center,450 Metroplex Drive,Nashville,TN,37211,36.0789,-86.6892,Distribution Center,Large,Retail|Consumer Goods|Music Equipment,Extended Hours,68,No,No,No,Southeast,Nashville Metro,"Large regional distribution center in Middle Tennessee, serves Southeast retail and specialty music equipment"
CLE-01,Cleveland Port Terminal,1500 East 55th Street,Cleveland,OH,44103,41.5217,-81.6319,Port Terminal,Medium,Steel|Machinery|Bulk,Extended Hours,45,No,Yes,Yes,Midwest,Cleveland Metro,"Great Lakes port handling bulk steel and heavy machinery, rail-served with hazmat for industrial materials"
CLE-02,Columbus Distribution Center,3900 Groveport Road,Groveport,OH,43125,39.8545,-82.8838,Distribution Center,Large,Retail|Fashion|Consumer Goods,24/7,88,No,No,No,Midwest,Columbus Metro,"Large fashion and retail distribution hub serving Midwest, adjacent to Columbus airport, high-volume apparel"
CIN-01,Cincinnati Regional Hub,11885 Mosteller Road,Cincinnati,OH,45241,39.2973,-84.3797,Distribution Center,Large,Consumer Goods|Retail|General Freight,24/7,78,No,No,No,Midwest,Cincinnati Metro,"Major regional distribution center in Northern Kentucky/Cincinnati area, serves multi-state Midwest region"
IND-01,Indianapolis Logistics Park,5650 W 73rd Street,Indianapolis,IN,46278,39.9077,-86.2721,Distribution Center,Large,E-Commerce|Pharmaceuticals|Retail,24/7,92,Yes,Yes,No,Midwest,Indianapolis Metro,"Large multi-industry distribution center at crossroads of America, pharmaceutical capabilities with climate control"
DET-01,Detroit Automotive Logistics,23500 Hoover Road,Warren,MI,48089,42.4945,-83.0192,Distribution Center,Large,Automotive|Manufacturing Supply,Extended Hours,85,No,Yes,Yes,Midwest,Detroit Metro,"Large automotive parts distribution serving Big Three, hazmat certified for manufacturing chemicals, rail access"
DET-02,Port of Detroit Terminal,130 Atwater Street,Detroit,MI,48226,42.3284,-83.0411,Port Terminal,Medium,Steel|Automotive|Bulk,Extended Hours,40,No,Yes,Yes,Midwest,Detroit Metro,"Great Lakes port handling automotive and steel, rail-served facility with hazmat for industrial freight"
STL-01,St Louis Distribution Center,13850 Rider Trail North,Earth City,MO,63045,38.7622,-90.4641,Distribution Center,Large,General Freight|Retail|Beverage,24/7,80,Yes,No,Yes,Midwest,St Louis Metro,"Large distribution center in Earth City logistics corridor, serves central US with refrigerated and dry capacity"
KC-01,Kansas City Logistics Hub,20600 South Waverly Road,Gardner,KS,66030,38.7642,-94.9297,Distribution Center,Mega,General Freight|Automotive|Intermodal,24/7,155,No,Yes,Yes,Midwest,Kansas City Metro,"Massive intermodal logistics park with rail access, serves central US distribution for multiple industries"
MIN-01,Minneapolis Distribution Center,8750 Zachary Lane North,Maple Grove,MN,55369,45.1077,-93.4558,Distribution Center,Large,Retail|Consumer Goods|Food & Beverage,24/7,72,Yes,No,No,Midwest,Minneapolis-St Paul,"Large distribution center serving Upper Midwest, temperature controlled for food and general retail goods"
MIN-02,Duluth Port Terminal,2002 London Road,Duluth,MN,55812,46.7833,-92.0552,Port Terminal,Medium,Bulk|Grain|Steel,Extended Hours,35,No,No,Yes,Midwest,Duluth,"Great Lakes port handling bulk grain and iron ore, rail-served for heavy industrial materials to Upper Midwest"
MIL-01,Milwaukee Distribution Center,5300 South 13th Street,Milwaukee,WI,53221,42.9845,-87.9295,Distribution Center,Medium,Beverage|Food & Beverage|Consumer Goods,Extended Hours,55,Yes,No,No,Midwest,Milwaukee Metro,"Mid-sized distribution center specializing in beverage and food products, refrigerated capacity for brewing industry"
PIT-01,Pittsburgh Regional Warehouse,100 Thorn Hill Drive,Warrendale,PA,15086,40.6584,-80.1048,Distribution Center,Medium,Steel|Manufacturing Supply|General Freight,Extended Hours,48,No,Yes,Yes,Northeast,Pittsburgh Metro,"Regional distribution supporting manufacturing corridor, handles steel and industrial supplies with rail access"
PHL-01,Philadelphia Port Logistics,3460 South Columbus Boulevard,Philadelphia,PA,19148,39.9143,-75.1398,Port Terminal,Large,General Freight|Petroleum|Chemicals,24/7,90,No,Yes,Yes,Northeast,Philadelphia Metro,"Major East Coast port handling chemicals and petroleum products, extensive hazmat and rail infrastructure"
PHL-02,Allentown Distribution Center,7150 Tilghman Street,Allentown,PA,18106,40.5951,-75.541,Distribution Center,Large,E-Commerce|Retail|Consumer Goods,24/7,95,No,No,No,Northeast,Lehigh Valley,"Large e-commerce fulfillment center in Lehigh Valley, serves Northeast corridor rapid delivery network"
RIC-01,Richmond Distribution Hub,4900 Oakleys Lane,Richmond,VA,23234,37.4432,-77.4086,Distribution Center,Medium,General Freight|Consumer Goods,Extended Hours,52,No,No,No,Southeast,Richmond Metro,"Mid-sized regional distribution hub serving Virginia and Mid-Atlantic, general freight and retail goods"
RDU-01,Raleigh-Durham Tech Center,4600 Emperor Boulevard,Durham,NC,27703,35.9132,-78.9428,Distribution Center,Medium,Electronics|Pharmaceuticals|High Tech,Business Hours,38,Yes,Yes,No,Southeast,Research Triangle,"Technology and pharmaceutical distribution in Research Triangle, climate controlled with pharma-grade security"
CLT-01,Charlotte Regional Distribution,10520 Southpac Court,Charlotte,NC,28273,35.1437,-80.9479,Distribution Center,Large,Retail|Consumer Goods|Automotive,24/7,88,No,No,No,Southeast,Charlotte Metro,"Large regional distribution center serving Carolinas, automotive parts and retail goods for Southeast market"
NO-01,New Orleans Port Complex,1350 Port of New Orleans Place,New Orleans,LA,70130,29.9388,-90.0628,Port Terminal,Large,Bulk|Chemicals|Coffee|General Freight,24/7,110,No,Yes,Yes,Southeast,New Orleans Metro,"Major Gulf Coast port handling bulk commodities and chemicals, hazmat certified with extensive rail network"
DAL-01,Dallas Central Distribution,2550 Manana Drive,Dallas,TX,75220,32.868,-96.9028,Distribution Center,Large,Retail|Consumer Goods|Electronics,24/7,75,No,No,No,Southwest,Dallas-Fort Worth,"Large retail distribution in central Dallas, serves DFW metro high-volume consumer electronics and goods"
OKC-01,Oklahoma City Regional Hub,7920 West Reno Avenue,Oklahoma City,OK,73127,35.4624,-97.6195,Distribution Center,Medium,General Freight|Energy Equipment,Extended Hours,45,No,Yes,No,Southwest,Oklahoma City,"Regional distribution hub serving oil and gas industry equipment, hazmat certified for energy sector supplies"
TUL-01,Tulsa Logistics Center,7633 East Admiral Place,Tulsa,OK,74115,36.1489,-95.8989,Distribution Center,Medium,General Freight|Manufacturing Supply,Extended Hours,42,No,No,Yes,Southwest,Tulsa,"Mid-sized distribution center with rail access, serves regional manufacturing and general freight needs"
LV-01,Las Vegas Distribution,6550 Surrey Street,Las Vegas,NV,89119,36.0897,-115.1372,Distribution Center,Large,Retail|Hospitality Supply|Consumer Goods,24/7,80,Yes,No,No,West,Las Vegas Metro,"Large distribution center serving Las Vegas hospitality and retail, temperature controlled for casino and hotel supplies"
SLC-01,Salt Lake City Regional Hub,5600 West 2100 South,Salt Lake City,UT,84120,40.7089,-111.9501,Distribution Center,Large,General Freight|Retail|Outdoor Equipment,Extended Hours,65,No,No,Yes,West,Salt Lake City,"Regional distribution serving Mountain West, handles outdoor recreation equipment and general retail with rail"
POR-01,Portland Distribution Center,7135 NE 47th Avenue,Portland,OR,97218,45.5722,-122.6125,Distribution Center,Large,Consumer Goods|Retail|Specialty Foods,24/7,78,Yes,No,No,Pacific Northwest,Portland Metro,"Large distribution center in North Portland, serves Pacific Northwest specialty foods and retail with refrigeration"
SAC-01,Sacramento Regional Warehouse,4700 Roseville Road,North Highlands,CA,95660,38.6641,-121.3733,Distribution Center,Medium,Agricultural|Food & Beverage|General Freight,Extended Hours,50,Yes,No,No,West,Sacramento Metro,Regional warehouse serving Northern California agriculture and food distribution with refrigerated storage
ABQ-01,Albuquerque Cross-Dock,6000 Edith Boulevard NE,Albuquerque,NM,87107,35.1536,-106.6233,Cross-Dock,Medium,General Freight,Extended Hours,38,No,No,Yes,Southwest,Albuquerque,"Cross-dock facility with rail access on major Southwest freight corridor, handles general LTL and truckload"
ELP-01,El Paso Border Warehouse,9000 Gateway Boulevard West,El Paso,TX,79925,31.7879,-106.3772,Cross-Dock,Large,General Freight|Manufacturing Supply|Consumer Goods,24/7,95,No,Yes,No,Southwest,El Paso,"Major border cross-dock handling US-Mexico trade, high-volume manufacturing supply and consumer goods, hazmat certified"
LOU-01,Louisville Air Cargo Hub,1000 Louisville Southern Indiana Bridge,Louisville,KY,40213,38.1903,-85.7353,Distribution Center,Mega,Air Cargo|E-Commerce|General Freight,24/7,165,No,No,Yes,Southeast,Louisville Metro,"Massive air cargo distribution hub serving national e-commerce, adjacent to Louisville airport with rail connections"
BUF-01,Buffalo Port Terminal,130 Main Street,Buffalo,NY,14203,42.8772,-78.8784,Port Terminal,Medium,Steel|Grain|Automotive,Extended Hours,42,No,Yes,Yes,Northeast,Buffalo-Niagara,"Great Lakes and Canadian border port, handles steel and grain with rail access, hazmat for industrial freight"
SYR-01,Syracuse Distribution Center,6790 Yorktown Circle,East Syracuse,NY,13057,43.0651,-76.0699,Distribution Center,Medium,General Freight|Consumer Goods,Extended Hours,45,No,No,No,Northeast,Syracuse,"Central New York distribution hub serving upstate region, general freight and retail consumer goods"
HAR-01,Harrisburg Logistics Center,850 Linglestown Road,Harrisburg,PA,17110,40.2937,-76.8358,Distribution Center,Medium,General Freight|Food & Beverage,Extended Hours,48,Yes,No,No,Northeast,Harrisburg,"Mid-sized distribution serving Central Pennsylvania, refrigerated food and general freight for Mid-Atlantic"
GR-01,Grand Rapids Distribution,3145 Three Mile Road NW,Grand Rapids,MI,49534,43.0139,-85.7245,Distribution Center,Medium,Furniture|Consumer Goods|Automotive,Extended Hours,50,No,No,No,Midwest,Grand Rapids,"Regional distribution specializing in furniture and home goods, serves West Michigan automotive and retail"
DSM-01,Des Moines Regional Hub,2800 Delaware Avenue,Des Moines,IA,50313,41.6145,-93.5958,Distribution Center,Medium,Agricultural|Food & Beverage|General Freight,Extended Hours,44,Yes,No,Yes,Midwest,Des Moines,"Agricultural distribution center serving Iowa farming region, refrigerated capacity with rail for grain corridor"
OMA-01,Omaha Logistics Center,12545 West Dodge Road,Omaha,NE,68154,41.2621,-96.1453,Distribution Center,Large,Food & Beverage|Agricultural|General Freight,24/7,70,Yes,No,Yes,Midwest,Omaha Metro,"Large distribution hub serving Great Plains, food processing and agricultural products with rail connections"
LR-01,Little Rock Distribution,4301 East Roosevelt Road,Little Rock,AR,72206,34.7305,-92.1893,Distribution Center,Medium,General Freight|Retail,Extended Hours,40,No,No,No,Southeast,Little Rock,"Regional distribution center for Arkansas and surrounding states, general freight and retail consumer goods"
BIR-01,Birmingham Regional Warehouse,1800 Park Place North,Birmingham,AL,35203,33.5277,-86.8038,Distribution Center,Medium,Steel|Manufacturing Supply|General Freight,Extended Hours,48,No,Yes,Yes,Southeast,Birmingham Metro,"Industrial distribution supporting manufacturing corridor, steel products and supplies with rail and hazmat"
JAC-01,Jackson Distribution Center,5590 I-55 North Frontage Road,Jackson,MS,39211,32.387,-90.1753,Distribution Center,Medium,General Freight|Consumer Goods,Extended Hours,38,No,No,No,Southeast,Jackson,"Mid-sized regional distribution serving Mississippi, general freight and consumer goods on I-55 corridor"
SHV-01,Shreveport Cross-Dock,8000 Greenwood Road,Shreveport,LA,71119,32.4663,-93.8174,Cross-Dock,Small,General Freight|Energy Equipment,Extended Hours,28,No,Yes,No,Southeast,Shreveport,"Small cross-dock supporting oil and gas logistics, hazmat certified for energy sector equipment and supplies"
BR-01,Baton Rouge Chemical Logistics,7500 Airline Highway,Baton Rouge,LA,70815,30.4515,-91.0982,Distribution Center,Medium,Chemicals|Petroleum|Industrial Supply,24/7,45,No,Yes,Yes,Southeast,Baton Rouge,"Chemical and petroleum distribution serving Louisiana petrochemical corridor, extensive hazmat and rail infrastructure"
MOB-01,Mobile Port Terminal,250 North Water Street,Mobile,AL,36602,30.6927,-88.0703,Port Terminal,Large,Steel|Containers|Bulk|Chemicals,24/7,95,No,Yes,Yes,Southeast,Mobile,"Major Gulf Coast port handling steel imports and chemicals, rail-served with extensive hazmat capabilities"
CHS-01,Charleston Port Facility,196 Concord Street,Charleston,SC,29401,32.7847,-79.9244,Port Terminal,Large,Automotive|Containers|General Freight,24/7,105,No,Yes,Yes,Southeast,Charleston,"Major East Coast port specializing in automotive imports and containers, extensive rail network"
GSO-01,Greensboro Distribution Center,4400 West Wendover Avenue,Greensboro,NC,27407,36.0726,-79.8614,Distribution Center,Large,Textiles|Furniture|General Freight,Extended Hours,68,No,No,No,Southeast,Piedmont Triad,"Large distribution hub in furniture and textile corridor, serves Triad region with general freight and home goods"
NOR-01,Norfolk Port Terminal,600 World Trade Center,Norfolk,VA,23510,36.9468,-76.3284,Port Terminal,Large,Coal|Containers|Military Supply,24/7,115,No,Yes,Yes,Southeast,Hampton Roads,"Major East Coast port handling coal exports and military logistics, extensive rail and hazmat for naval operations"
LEX-01,Lexington Distribution Center,2300 Palumbo Drive,Lexington,KY,40509,38.0336,-84.437,Distribution Center,Medium,Automotive|Manufacturing Supply|Bourbon,Extended Hours,42,No,No,No,Southeast,Lexington,"Regional distribution serving Kentucky automotive corridor and spirits industry, general manufacturing supplies"
KNX-01,Knoxville Regional Warehouse,215 Mercantile Drive,Knoxville,TN,37912,35.9606,-83.8635,Distribution Center,Medium,General Freight|Consumer Goods,Extended Hours,45,No,No,No,Southeast,Knoxville,"Mid-sized distribution center serving East Tennessee, general freight and retail for Appalachian region"
PNS-01,Pensacola Distribution Center,7171 Pensacola Boulevard,Pensacola,FL,32505,30.4521,-87.2406,Distribution Center,Small,General Freight|Military Supply,Extended Hours,25,No,No,No,Southeast,Pensacola,"Small distribution facility serving Florida Panhandle and military installations, general freight and defense logistics"
BOI-01,Boise Regional Hub,3360 East Gowen Road,Boise,ID,83716,43.5846,-116.1436,Distribution Center,Medium,Agricultural|Electronics|General Freight,Extended Hours,40,Yes,No,No,West,Boise,"Regional distribution serving Idaho and Mountain West, agriculture and technology products with refrigeration"
RNO-01,Reno Distribution Center,950 Terminal Way,Reno,NV,89502,39.5002,-119.7684,Distribution Center,Large,E-Commerce|Consumer Goods|Gaming Supply,24/7,75,No,No,No,West,Reno-Tahoe,"Large e-commerce and gaming supply distribution near California border, serves Nevada and Northern California markets"
