equipment_code,equipment_name,equipment_category,length_ft,width_ft,height_ft,internal_volume_cuft,max_payload_lbs,tare_weight_lbs,door_type,floor_type,temp_control_type,temp_range,specialized_features,commodity_compatibility,typical_applications,cost_per_mile,availability,characteristics_nl
TANKER-DOT412,DOT-412 Chemical Tanker,Tanker,42,8.5,13,6500,45000,22000,Manhole|Bottom valve,Stainless steel,Insulated,NA to 300F,Hazmat certified|Lined|Baffled,Hazardous liquids|Corrosive chemicals,Hazardous liquid chemicals,4,Low,"Heavy-duty chemical tanker for corrosive and hazardous materials, DOT hazmat certified, temperature control for viscous products"
PNEUMATIC-DRY,Pneumatic Dry Bulk,Tanker,42,8.5,13,1600,50000,18000,Top hatch|Pneumatic discharge,Aluminum,None,NA,Air compressor|Pneumatic unload|Slope bottom,Cement|Plastic pellets|Flour|Powder,Dry bulk powder materials,3.3,Medium,"Pneumatic bulk trailer for powdered materials, air pressure discharge system, ideal for cement, flour, and plastic pellets"
HOPPER-BOTTOM,Hopper Bottom Grain,Specialized,42,8.5,13,1800,50000,16000,Top hatch|Hopper gates,Aluminum,None,NA,Gravity discharge|Hopper bottom|Roll tarp,Grain|Feed|Agricultural bulk,Agricultural grain and bulk products,2.9,High,"Agricultural hopper trailer for grain and bulk products, gravity discharge through bottom gates, roll tarp for weather protection"
AUTO-CARRIER,Multi-Level Auto Carrier,Specialized,75,8.5,13.5,Variable,20000,25000,Hydraulic ramps,Steel deck,None,NA,Multi-level decks|Vehicle securement|Hydraulic,Automobiles|Light trucks,Vehicle transport from manufacturing,4.5,Low,"Multi-level car carrier for automotive transport, hydraulic deck adjustment, specialized vehicle securement, typically carries 8-10 vehicles"
POWER-ONLY,Power Only Tractor,Power Unit,NA,NA,NA,NA,NA,18000,NA,NA,None,NA,53ft capable|Standard fifth wheel,Compatible with customer trailers,Customer-owned trailer moves,2,High,"Tractor without trailer for pulling customer-owned or pre-positioned trailers, standard fifth wheel coupling"
DOUBLE-DROP,Double Drop Lowboy,Specialized,29,8.5,1.5,Open deck,42000,17000,No doors|Open,Steel deck,None,NA,Extra low center section|Heavy duty|Wide load,Oversized equipment|Construction,Extra-tall construction equipment,4.2,Low,"Ultra-low center deck section for maximum height clearance, raised sections at front and rear, specialized for tall heavy equipment"
VAN-LIFTGATE,Dry Van with Liftgate,Dry Van,26,8.5,9,1950,20000,10000,Swing doors|Rear|Liftgate,Wood,None,NA,Hydraulic liftgate|No dock required,General freight|Residential delivery,Residential and no-dock deliveries,2.8,Medium,"Dry van equipped with hydraulic liftgate for locations without loading dock, ideal for residential and retail deliveries"
REEFER-LIFTGATE,Reefer with Liftgate,Refrigerated,26,8.5,9,1850,18000,11500,Swing doors|Rear|Liftgate,Aluminum,Single-zone reefer,0F to 40F,Hydraulic liftgate|Temperature control,Perishable foods|No dock locations,Restaurant and grocery delivery,3.2,Medium,"Refrigerated trailer with liftgate for cold chain delivery to non-dock locations, combines temperature control with ground-level access"
HOTSHOT-GOOSE,Gooseneck Hotshot,Specialized,40,8.5,6.5,Open deck,25000,8000,No doors|Open,Wood deck,None,NA,Pickup-towed|Quick turnaround|Tarps,Expedited freight|Small equipment,Expedited small loads and equipment,3.8,Medium,"Gooseneck trailer for pickup truck towing, expedited service for urgent small loads, faster turnaround than full truckload"
CONTAINER-20,20ft Shipping Container,Intermodal,20,8,8.5,1150,55000,5000,Swing doors|Rear,Wood|Corrugated steel,None,NA,ISO standard|Stackable|Intermodal,Containerized imports|Intermodal,International shipping and rail intermodal,2.2,High,"Standard 20-foot ISO shipping container, intermodal capable for ship/rail/truck, stackable, import/export freight"
CONTAINER-40,40ft Shipping Container,Intermodal,40,8,8.5,2350,58000,8500,Swing doors|Rear,Wood|Corrugated steel,None,NA,ISO standard|Stackable|Intermodal,Containerized imports|Intermodal,International and domestic intermodal,2.5,Very High,"Standard 40-foot ISO container, most common international shipping size, intermodal rail and truck compatible"
CONTAINER-40HC,40ft High Cube Container,Intermodal,40,8,9.5,2700,58000,8900,Swing doors|Rear,Wood|Corrugated steel,None,NA,Extra height|ISO standard|Stackable,High-cube imports|Tall cargo,High-cube international and intermodal,2.6,High,"High-cube 40-foot container with extra foot of height, ideal for lightweight voluminous cargo, intermodal compatible"
REEFER-CONT-40,40ft Refrigerated Container,Intermodal,40,8,8.5,2100,55000,10000,Swing doors|Rear,Aluminum,Integral reefer,-25F to 70F,Built-in reefer unit|Data logging|Intermodal,Perishable imports|International cold chain,International cold chain shipping,3.5,Medium,"Refrigerated ISO container with integral cooling unit, intermodal rail/truck/ship compatible, international cold chain logistics"
LIVESTOCK-POT,Livestock Pot Trailer,Specialized,53,8.5,13,Variable,45000,18000,Multiple decks|Rear ramp,Aluminum,Ventilation,NA,Multi-deck|Ventilation|Ramps|Washable,Live animals|Poultry|Livestock,Livestock transport to processing,3.2,Low,"Multi-deck livestock trailer with ventilation and animal welfare features, washable interior, specialized for live animal transport"
CURTAINSIDE-EU,European Curtainside,Curtainside,45,8.5,9,3400,44000,14000,Rear doors|Side curtains,Wood,None,NA,Full side access|European standard|Straps,General freight|European loads,European-style side access freight,2.9,Low,"European-style curtainside with full side opening, metric dimensions, commonly used for European imports requiring side access"
OPEN-TOP-VAN,Open Top Dry Van,Dry Van,53,8.5,9,4000,45000,16000,Swing doors|Removable roof,Wood,None,NA,Removable roof panels|Top loading,Tall cargo|Top loading needed,Freight requiring top loading access,2.7,Low,"Dry van with removable roof panels for top loading of tall items, combines weather protection with loading flexibility"
INSULATED-VAN,Insulated Dry Van,Dry Van,53,8.5,9,3900,44000,16500,Swing doors|Rear,Insulated,Passive insulation,40F to 80F,2-4 inch insulation|Protect from temperature,Temperature-sensitive non-refrigerated,Temperature buffering without active cooling,2.7,Medium,"Insulated dry van without active refrigeration, protects cargo from temperature extremes, ideal for temperature-sensitive non-perishable goods"
